vendor_name,item_id,title,price_cents,calories,calories_rounded,model_pred_calories,model_pred_rounded,calories_source,confidence_label,final_confidence
swad gomantak,3264c85c-196,Pomfret Fry With Prawns Curry & Steamed Rice,599,209.74025726967608,210,209.74025726967608,210,manual_review,high,1.0
swad gomantak,3264c85c-197,Prawns Fry With Prawns Curry & Steamed Rice,750,209.74025726967608,210,209.74025726967608,210,manual_review,high,1.0
swad gomantak,3264c85c-198,Bangda Fry With Prawns Curry & Steamed Rice,490,209.74025726967608,210,209.74025726967608,210,manual_review,high,1.0
swad gomantak,3264c85c-199,Bombil Fry With Prawns Curry & Steamed Rice,400,209.74025726967608,210,209.74025726967608,210,manual_review,high,1.0
swad gomantak,3264c85c-200,Chicken Thali With Bangda Fry,580,238.9530793112242,239,238.9530793112242,239,manual_review,high,1.0
swad gomantak,3264c85c-201,Chicken Thali With Bombil Fry,580,238.9530793112242,239,238.9530793112242,239,manual_review,high,1.0
swad gomantak,3264c85c-202,Kolambi Bhaat,550,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-203,Prawns Biryani,599,206.7983617084244,207,206.7983617084244,207,manual_review,high,1.0
swad gomantak,3264c85c-204,Mutton Biryani,590,206.7983617084244,207,206.7983617084244,207,manual_review,high,1.0
swad gomantak,3264c85c-205,Fish Biryani,699,237.00106738505528,237,237.00106738505528,237,manual_review,high,1.0
swad gomantak,3264c85c-206,Chicken Biryani,450,186.62890785880268,187,186.62890785880268,187,manual_review,high,1.0
swad gomantak,3264c85c-207,Egg Biryani,350,184.02625647483077,184,184.02625647483077,184,manual_review,high,1.0
swad gomantak,3264c85c-208,Veg Biryani,290,219.081628038072,219,219.08162803807198,219,manual_review,high,1.0
swad gomantak,3264c85c-209,Dal Khichdi,250,129.2481151929424,129,129.2481151929424,129,manual_review,high,1.0
swad gomantak,3264c85c-210,Jeera Rice,110,208.6301268408624,209,208.6301268408624,209,manual_review,high,1.0
swad gomantak,3264c85c-211,Plain Rice,89,208.6301268408624,209,208.6301268408624,209,manual_review,high,1.0
swad gomantak,3264c85c-212,Paneer Biryani,300,238.89055290636676,239,238.89055290636676,239,manual_review,high,1.0
swad gomantak,3264c85c-213,Surmai Chatpata Biryani,599,206.7983617084244,207,206.7983617084244,207,manual_review,high,1.0
swad gomantak,3264c85c-214,Crab Lahsuni Biryani,599,206.7983617084244,207,206.7983617084244,207,manual_review,high,1.0
swad gomantak,3264c85c-215,Pomfret Fry Biryani,599,206.7983617084244,207,206.7983617084244,207,manual_review,high,1.0
swad gomantak,3264c85c-216,Mutton Kolhapuri Biryani,550,206.7983617084244,207,206.7983617084244,207,manual_review,high,1.0
swad gomantak,3264c85c-217,Chicken Kolhapuri Biryani,350,190.04031986127225,190,190.04031986127222,190,manual_review,high,1.0
swad gomantak,3264c85c-218,Bangda Fry Masala Biryani,450,194.88511362487617,195,194.88511362487617,195,manual_review,high,1.0
swad gomantak,3264c85c-219,Veg Kolhapuri Biryani,300,219.081628038072,219,219.08162803807198,219,manual_review,high,1.0
swad gomantak,3264c85c-220,Crab Lasuni Biryani,599,206.7983617084244,207,206.7983617084244,207,manual_review,high,1.0
